"product","relation_type","rule"
"M49207","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49218,M49222""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49207","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M74907,M49220,M72878,M75035""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49220","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49214,M49216""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49220","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49218,M49222""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49220","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1000983,M1000979,M1024931,M49207,M75035,M1000970,M1000971""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49320","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11791,M11792""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49320","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11792""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49320","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M302,M75601,M57966,M57968,M78380,M90850,M90851""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49344","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49346,M75086,M1012319""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M49344","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M61124,M61125,M10577,M11473,M66923""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5022","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1024219,M5162,M4097,M75820""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5043","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M5159,M5113,M245,M5162,M70208,M5154,M5155,M5042,M5044,M1018497""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5044","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1018497,M5162,M70208,M5154,M5155,M245,M5159,M5113,M5043,M5042""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5108","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M5159,M19872,M45491,M5162,M82164,M82165,M5154,M5155""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5113","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M45493""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5113","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M5148,M19872,M45491,M5162,M75820,M4097,M5147,M70208,M5154,M5155,M75950,M5159,M245,M5042,M5043,M5044""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5147","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M80386,M5113,M4098,M70208,M1018498,M5148,M19872,M75950""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5148","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M5147,M19872,M75950,M1018498,M80386,M5113,M4098,M70208""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5154","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M5155,M5042,M5043,M5044,M5108,M5162,M80386,M245,M244,M5113,M5159,M1018497""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M5155","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1018497,M5042,M5043,M5044,M5108,M5162,M80386,M245,M244,M5113,M5154,M5159""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M526","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75053,M75085""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M526","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11480,M75071,M528,M45050,M61124,M61125,M11306""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M528","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75053,M75085""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M528","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11480,M75071,M45050,M61124,M61125,M11306,M526""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53235","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49222,M47012,M15496,M1000973,M1024944,M1000645""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53238","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028038,M74815,M53233,M10569,M15496""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53287","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M53288""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53287","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M717,M714,M715,M716,M718,M719,M766,M767,M768,M769,M770,M771,M53326,M79890,M79892,M79932,M80108,M739,M738,M740,M741,M742,M743,M744,M745,M746,M747,M748,M749,M53288""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53288","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M53287""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53288","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M787,M788,M789,M53287,M80108,M778,M780,M779,M784,M785,M786,M781,M782,M783""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53331","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M53326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M53331","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10871,M10872,M11542,M11543,M62735""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54107","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58326,M69208""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54107","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M54110,M54111,M54113,M20534,M20539,M64357""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54110","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58326,M69208""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54110","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M20534,M20539,M64357,M54107,M54111,M54113""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54111","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58326,M69208""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54111","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M54107,M54110,M54113,M20534,M20539,M64356,M64355""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54113","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58326,M69208""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M54113","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M20534,M20539,M64355,M64356,M54107,M54110,M54111""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55895","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M854,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55895","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M55901,M55878,M55879,M55880,M55881,M55882,M55883,M55884,M55885,M55910,M55911,M55912,M55913,M55916,M55915,M55917""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55895","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M86111,M86110,M86112,M86113,M86144,M86145,M86146,M86147,M86148,M1006672,M1006673,M1006675,M1006676,M68739,M68740,M68741,M68742""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55936","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M55964,M55966,M55965""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55936","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58335,M58336,M58339,M68854,M86107,M86108,M1006743,M1006744,M55259,M55264,M55265,M55266,M55260,M55267,M55268,M55269,M55939,M55940,M55941,M55943,M55944,M1014371,M1014372,M20534,M20539,M20542,M20547,M1014359,M1014360,M1014362,M1014363,M1014364,M55937""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55937","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M55964,M55966,M55965""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M55937","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M86107,M86108,M1006743,M1006744,M58335,M58336,M58339,M68854,M55936,M55259,M55264,M55265,M55266,M55260,M55267,M55268,M55269,M55939,M55940,M55941,M55943,M55944,M1014371,M1014372,M20534,M20539,M20542,M20547,M1014359,M1014360,M1014362,M1014364,M1014363""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58035","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1018212,M731""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58035","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90804,M90800,M90799,M90802,M90805,M90806,M58036,M58037,M58038,M1024684,M1024689,M12274,M12273""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58036","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M731,M1018212""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58036","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M12274,M12273,M58035,M58037,M58038,M90806,M90804,M90800,M90799,M90802,M90805,M1024684,M1024689""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58037","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1018212,M731""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58037","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90804,M90800,M90799,M90802,M90805,M1024684,M1024689,M12274,M12273,M90806,M58035,M58036,M58038""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58038","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M731,M1018212""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58038","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58035,M58036,M58037,M90806,M1024684,M1024689,M90804,M90800,M90799,M90802,M90805,M12274,M12273""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58095","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49216,M58098""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58095","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58102,M58100,M64947,M69408,M74907,M75035,M80362,M1017711""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58100","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49216,M58099""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58100","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58102,M58095,M64947,M69408,M74907,M1017711""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58102","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M49216,M58098""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58102","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58095,M1000945,M1000946,M64947,M58100,M74907,M69408,M80362,M1000900""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58227","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58319,M66286,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58227","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75686,M75730,M68823,M62314,M62315,M75700,M75685,M75727,M58228,M58230,M58312,M58313,M58314,M58315""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58228","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M64799,M58319,M66286,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58228","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75686,M62287,M55901,M58227,M58230,M58312,M58313,M58314,M58315,M75685,M75730,M55910,M55911,M55912,M55913""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58230","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M64799,M58319,M66286,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58230","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75686,M62287,M55901,M55910,M55911,M55912,M55913,M75685,M75730,M58227,M58228,M58312,M58313,M58314,M58315""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58312","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58319,M66286,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58312","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75685,M55901,M58227,M58228,M58230,M58313,M58314,M58315,M75700,M75686,M75727,M68822,M68821,M55911,M55910,M55912,M55913""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58313","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58319,M66286,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58313","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75686,M62287,M55901,M68822,M68821,M55910,M55911,M55913,M55912,M75685,M75730,M58227,M58228,M58230,M58312,M58314,M58315""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58314","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M66286,M58319,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58314","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75685,M55901,M58227,M58228,M58230,M58312,M58313,M58315,M75700,M75686,M75727,M55910,M55911,M55912,M55913""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58315","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58319,M66286,M58322,M58324,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58315","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M852,M75685,M75686,M857,M856,M859,M58227,M58228,M58230,M58312,M58313,M58314""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58335","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M12479,M69208,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58335","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58339,M68854,M1014359,M1014362,M1014360,M1014364,M1014363""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58335","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M64355,M64356,M64358,M64357,M20534,M20539,M20542,M20547,M19882,M19883,M1006621,M1006622,M1006623,M58336,M55936,M55937,M1014371,M1014372""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58336","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M12479,M69208,M58326""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58336","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58339,M68854,M1014360,M1014359,M1014363,M1014362,M1014364""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M58336","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M64355,M64356,M64357,M64358,M20534,M20539,M20542,M20547,M19882,M19883,M1006621,M1006622,M1006623,M1014371,M1014372,M55936,M55937,M58335""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M61124","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75043,M75084""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M61124","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M526,M528,M45050,M49344,M86729,M1000900,M1000945,M1000946,M11306,M61125""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M61125","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75043,M75084""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
